"desc_cnt"|"flat_cnt"|"grp_name"|"grp_url"|"incr_cnt"|"stck_cnt"|"vart_rate"
1|0|"생물공학"|"/sise/sise_group_detail.naver?type=upjong&no=286"|48|49|"8.43%"
1|2|"생명과학도구및서비스"|"/sise/sise_group_detail.naver?type=upjong&no=262"|28|31|"7.98%"
0|0|"양방향미디어와서비스"|"/sise/sise_group_detail.naver?type=upjong&no=300"|11|11|"6.37%"
1|2|"우주항공과국방"|"/sise/sise_group_detail.naver?type=upjong&no=284"|13|16|"6.09%"
4|3|"방송과엔터테인먼트"|"/sise/sise_group_detail.naver?type=upjong&no=285"|48|55|"5.83%"
2|3|"게임엔터테인먼트"|"/sise/sise_group_detail.naver?type=upjong&no=263"|29|34|"5.66%"
0|2|"통신장비"|"/sise/sise_group_detail.naver?type=upjong&no=294"|42|44|"5.66%"
0|1|"전기장비"|"/sise/sise_group_detail.naver?type=upjong&no=306"|27|28|"5.21%"
0|0|"건축제품"|"/sise/sise_group_detail.naver?type=upjong&no=320"|15|15|"5.02%"
0|1|"인터넷과카탈로그소매"|"/sise/sise_group_detail.naver?type=upjong&no=308"|10|11|"4.89%"
2|1|"건설"|"/sise/sise_group_detail.naver?type=upjong&no=279"|70|73|"4.83%"
0|0|"항공화물운송과물류"|"/sise/sise_group_detail.naver?type=upjong&no=326"|13|13|"4.73%"
1|0|"건강관리업체및서비스"|"/sise/sise_group_detail.naver?type=upjong&no=316"|3|4|"4.69%"
5|4|"건강관리장비와용품"|"/sise/sise_group_detail.naver?type=upjong&no=281"|59|68|"4.64%"
0|0|"가정용품"|"/sise/sise_group_detail.naver?type=upjong&no=297"|8|8|"4.48%"
2|2|"소프트웨어"|"/sise/sise_group_detail.naver?type=upjong&no=287"|56|60|"4.46%"
0|0|"다각화된소비자서비스"|"/sise/sise_group_detail.naver?type=upjong&no=339"|1|1|"4.42%"
1|0|"건강관리기술"|"/sise/sise_group_detail.naver?type=upjong&no=288"|11|12|"4.37%"
7|5|"디스플레이장비및부품"|"/sise/sise_group_detail.naver?type=upjong&no=269"|73|85|"3.9%"
0|0|"문구류"|"/sise/sise_group_detail.naver?type=upjong&no=332"|2|2|"3.78%"
5|6|"기계"|"/sise/sise_group_detail.naver?type=upjong&no=299"|84|95|"3.72%"
36|17|"창업투자"|"/sise/sise_group_detail.naver?type=upjong&no=277"|34|87|"3.72%"
1|0|"석유와가스"|"/sise/sise_group_detail.naver?type=upjong&no=313"|19|20|"3.63%"
1|1|"철강"|"/sise/sise_group_detail.naver?type=upjong&no=304"|51|53|"3.53%"
0|0|"광고"|"/sise/sise_group_detail.naver?type=upjong&no=310"|13|13|"3.52%"
2|1|"손해보험"|"/sise/sise_group_detail.naver?type=upjong&no=315"|10|13|"3.44%"
0|0|"은행"|"/sise/sise_group_detail.naver?type=upjong&no=301"|11|11|"3.42%"
1|0|"전자제품"|"/sise/sise_group_detail.naver?type=upjong&no=307"|17|18|"3.42%"
2|1|"증권"|"/sise/sise_group_detail.naver?type=upjong&no=321"|35|38|"3.32%"
1|0|"가구"|"/sise/sise_group_detail.naver?type=upjong&no=303"|9|10|"3.25%"
1|3|"IT서비스"|"/sise/sise_group_detail.naver?type=upjong&no=267"|73|77|"3.21%"
