"desc_cnt"|"flat_cnt"|"grp_name"|"grp_url"|"incr_cnt"|"stck_cnt"|"vart_rate"
0|0|"네옴시티관련주"|"/sise/sise_group_detail.naver?type=theme&no=519"|18|18|"8.82%"
3|2|"면역항암제"|"/sise/sise_group_detail.naver?type=theme&no=389"|25|30|"7.6%"
0|0|"원숭이두창"|"/sise/sise_group_detail.naver?type=theme&no=516"|18|18|"7.04%"
0|0|"야놀자관련주"|"/sise/sise_group_detail.naver?type=theme&no=483"|5|5|"6.68%"
0|0|"인터넷대표주"|"/sise/sise_group_detail.naver?type=theme&no=49"|2|2|"6.54%"
2|2|"게임"|"/sise/sise_group_detail.naver?type=theme&no=42"|36|40|"6.41%"
1|1|"NFT(대체불가토큰)"|"/sise/sise_group_detail.naver?type=theme&no=492"|26|28|"6.36%"
0|2|"가상화폐(비트코인등)"|"/sise/sise_group_detail.naver?type=theme&no=331"|29|31|"6.27%"
0|2|"증강현실(AR)"|"/sise/sise_group_detail.naver?type=theme&no=289"|18|20|"6.15%"
0|1|"줄기세포"|"/sise/sise_group_detail.naver?type=theme&no=66"|22|23|"6.02%"
0|0|"K-뉴딜지수(인터넷)"|"/sise/sise_group_detail.naver?type=theme&no=459"|14|14|"5.99%"
2|5|"모바일게임(스마트폰)"|"/sise/sise_group_detail.naver?type=theme&no=265"|40|47|"5.98%"
0|0|"SNS(소셜네트워크서비스)"|"/sise/sise_group_detail.naver?type=theme&no=317"|10|10|"5.9%"
0|1|"모바일솔루션(스마트폰)"|"/sise/sise_group_detail.naver?type=theme&no=288"|23|24|"5.89%"
2|1|"코로나19(치료제/백신개발등)"|"/sise/sise_group_detail.naver?type=theme&no=448"|44|47|"5.83%"
0|0|"유전자치료제/분석"|"/sise/sise_group_detail.naver?type=theme&no=376"|36|36|"5.83%"
3|2|"코로나19(진단/치료제/백신개발등)"|"/sise/sise_group_detail.naver?type=theme&no=436"|84|89|"5.82%"
1|1|"음원/음반"|"/sise/sise_group_detail.naver?type=theme&no=98"|13|15|"5.81%"
0|0|"우크라이나재건관련주"|"/sise/sise_group_detail.naver?type=theme&no=517"|29|29|"5.74%"
0|0|"전선"|"/sise/sise_group_detail.naver?type=theme&no=178"|7|7|"5.73%"
0|0|"크래프톤관련주"|"/sise/sise_group_detail.naver?type=theme&no=486"|8|8|"5.68%"
0|1|"코로나19(렘데시비르)"|"/sise/sise_group_detail.naver?type=theme&no=443"|3|4|"5.68%"
0|1|"가상현실(VR)"|"/sise/sise_group_detail.naver?type=theme&no=352"|31|32|"5.67%"
2|2|"코로나19(진단키트)"|"/sise/sise_group_detail.naver?type=theme&no=447"|43|47|"5.49%"
0|0|"웹툰"|"/sise/sise_group_detail.naver?type=theme&no=488"|8|8|"5.49%"
0|1|"메타버스(Metaverse)"|"/sise/sise_group_detail.naver?type=theme&no=480"|55|56|"5.45%"
0|0|"코로나19(음압병실/음압구급차)"|"/sise/sise_group_detail.naver?type=theme&no=452"|8|8|"5.4%"
2|0|"바이오시밀러(복제바이오의약품)"|"/sise/sise_group_detail.naver?type=theme&no=241"|20|22|"5.35%"
0|0|"키오스크(KIOSK)"|"/sise/sise_group_detail.naver?type=theme&no=385"|10|10|"5.34%"
1|1|"광고"|"/sise/sise_group_detail.naver?type=theme&no=59"|18|20|"5.3%"
1|0|"탈모치료관련주"|"/sise/sise_group_detail.naver?type=theme&no=506"|15|16|"5.26%"
1|0|"K-뉴딜지수(게임)"|"/sise/sise_group_detail.naver?type=theme&no=460"|12|13|"5.19%"
0|0|"mRNA(메신저리보핵산)"|"/sise/sise_group_detail.naver?type=theme&no=493"|16|16|"5.13%"
0|1|"방위산업/전쟁및테러"|"/sise/sise_group_detail.naver?type=theme&no=144"|49|50|"5.08%"
1|1|"조림사업"|"/sise/sise_group_detail.naver?type=theme&no=400"|12|14|"5.04%"
0|0|"두나무관련주"|"/sise/sise_group_detail.naver?type=theme&no=482"|12|12|"5.03%"
1|0|"4대강복원"|"/sise/sise_group_detail.naver?type=theme&no=374"|9|10|"5.02%"
